Airline,Source,Dest,Route Map,Stops,Info,Price,Day,Month,Distance(km),Dep_Hr,Dep_Min,Duration_Hr,Duration_Min
IndiGo,BLR,DEL,BLR → DEL,0,0,3897,24,3,1709.71,22,20,2,50
Air India,CCU,BLR,CCU → IXR → BBI → BLR,2,0,7662,1,5,1838.55,05,50,7,25
Jet Airways,DEL,COK,DEL → LKO → BOM → COK,2,0,13882,9,6,2671.33,09,25,19,0
IndiGo,CCU,BLR,CCU → NAG → BLR,1,0,6218,12,5,1874.71,18,05,5,25
IndiGo,BLR,DEL,BLR → NAG → DEL,1,0,13302,01,3,1743.04,16,50,4,45
SpiceJet,CCU,BLR,CCU → BLR,0,0,3873,24,6,1547.27,09,00,2,25
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,1,11087,12,3,1971.87,18,55,15,30
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,22270,01,3,1971.87,08,00,21,5
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,1,11087,12,3,1971.87,08,55,25,30
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,8625,27,5,2201.6,11,25,7,50
Air India,DEL,COK,DEL → BLR → COK,1,0,8907,1,6,2077.09,09,45,13,15
IndiGo,CCU,BLR,CCU → BLR,0,0,4174,18,4,1547.27,20,20,2,35
Air India,MAA,CCU,MAA → CCU,0,0,4667,24,6,1387.26,11,40,2,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,9663,9,5,2500.36,21,10,12,10
IndiGo,CCU,BLR,CCU → BLR,0,0,4804,24,4,1547.27,17,15,2,35
Air India,DEL,COK,DEL → AMD → BOM → COK,2,0,14011,3,3,2263.95,16,40,26,35
SpiceJet,DEL,COK,DEL → PNQ → COK,1,0,5830,15,4,2130.78,08,45,4,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,12,6,2201.6,14,00,22,35
Air India,DEL,COK,DEL → CCU → BOM → COK,2,0,13381,12,6,4043.05,20,15,23,0
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12898,27,5,2201.6,16,00,20,35
GoAir,DEL,COK,DEL → BOM → COK,1,0,19495,6,3,2201.6,14,10,5,10
Air India,BLR,DEL,BLR → COK → DEL,1,0,6955,21,3,2415.98,22,00,15,20
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,3,4,1709.71,04,00,2,50
IndiGo,BLR,DEL,BLR → DEL,0,0,4823,1,5,1709.71,18,55,2,55
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,7757,6,5,2500.36,18,55,13,20
Jet Airways,DEL,COK,DEL → IDR → BOM → COK,2,0,13292,9,6,2232.34,21,25,15,10
IndiGo,DEL,COK,DEL → LKO → COK,1,0,8238,1,6,2329.93,21,50,5,45
GoAir,DEL,COK,DEL → BOM → COK,1,0,7682,15,5,2201.6,07,00,5,55
Vistara,BLR,DEL,BLR → DEL,0,0,4668,18,6,1709.71,09,45,2,50
Vistara,MAA,CCU,MAA → CCU,0,0,3687,15,6,1387.26,07,05,2,15
Vistara,MAA,CCU,MAA → CCU,0,0,3687,18,6,1387.26,07,05,2,15
Air India,CCU,BLR,CCU → GAU → DEL → BLR,2,0,13227,1,5,3664.88,09,50,13,25
IndiGo,BLR,DEL,BLR → DEL,0,0,4423,6,4,1709.71,04,00,2,50
Jet Airways,DEL,COK,DEL → NAG → BOM → COK,2,1,10919,15,6,2600.67,14,35,22,0
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12373,18,5,2201.6,07,05,5,30
IndiGo,DEL,COK,DEL → BOM → COK,1,0,5894,27,6,2201.6,10,35,10,25
SpiceJet,CCU,BLR,CCU → MAA → BLR,1,0,4649,21,5,1654.62,15,05,5,15
Air India,CCU,BLR,CCU → BLR,0,0,6245,18,5,1547.27,14,15,2,30
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,19225,06,3,1971.87,07,00,6,15
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,14924,3,6,2201.6,07,05,11,55
Multiple carriers,DEL,COK,DEL → HYD → COK,1,0,9646,21,5,2084.71,07,05,11,5
Air India,BLR,DEL,BLR → BOM → DEL,1,0,8714,15,3,1971.87,06,45,8,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12373,18,5,2201.6,20,55,22,5
Air Asia,BLR,DEL,BLR → DEL,0,0,3383,6,5,1709.71,11,10,2,45
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,13062,21,3,2201.6,09,00,12,0
SpiceJet,BLR,DEL,BLR → DEL,0,2,3527,24,3,1709.71,05,45,2,50
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,27,5,1709.71,04,00,2,50
Air India,MAA,CCU,MAA → CCU,0,0,4667,3,5,1387.26,11,40,2,15
Air India,CCU,BLR,CCU → HYD → BLR,1,0,6117,15,5,1662.88,19,00,16,5
Jet Airways,DEL,COK,DEL → AMD → BOM → COK,2,1,11150,27,6,2263.95,23,05,19,55
Jet Airways,DEL,COK,DEL → COK,0,1,7202,9,3,2048.6,11,00,3,15
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,0,12121,1,5,3022.67,09,35,25,20
IndiGo,BLR,DEL,BLR → DEL,0,0,4377,24,3,1709.71,22,20,2,50
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,18,6,1709.71,21,15,3,0
Air Asia,BLR,DEL,BLR → DEL,0,0,4483,3,4,1709.71,23,55,2,50
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14231,24,3,2500.36,19,45,16,15
Air India,BLR,DEL,BLR → BOM → AMD → DEL,2,0,17345,01,3,2034.22,08,50,15,5
Vistara,MAA,CCU,MAA → CCU,0,0,7414,6,3,1387.26,07,05,2,15
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,8073,6,5,2201.6,19,00,6,30
Vistara,BOM,HYD,BOM → DEL → HYD,1,0,12395,6,3,2404.77,15,40,25,5
Air India,CCU,BLR,CCU → BOM → BLR,1,0,8366,6,6,2500.36,09,25,12,25
Air India,DEL,COK,DEL → MAA → COK,1,0,5117,3,4,2278.33,06,05,27,20
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,12524,3,6,2201.6,08,45,10,15
IndiGo,DEL,COK,DEL → BOM → COK,1,0,7191,15,5,2201.6,15,00,10,30
Vistara,MAA,CCU,MAA → CCU,0,0,3687,24,5,1387.26,07,05,2,15
IndiGo,DEL,COK,DEL → BOM → COK,1,0,5894,24,6,2201.6,10,35,10,25
Vistara,BLR,DEL,BLR → DEL,0,0,5403,24,4,1709.71,09,45,2,50
Air India,BOM,HYD,BOM → HYD,0,0,3625,6,5,623.54,13,55,1,30
Air India,DEL,COK,DEL → BHO → BOM → COK,2,0,10861,21,5,2308.95,05,55,13,20
IndiGo,MAA,CCU,MAA → CCU,0,0,6297,12,3,1387.26,13,20,2,15
