Airline,Source,Dest,Stops,Info,Price,Day,Month,Distance(km),Duration
IndiGo,BLR,DEL,0,0,3897,24,3,1709.71,170
Air India,CCU,BLR,2,0,7662,1,5,1838.55,445
Jet Airways,DEL,COK,2,0,13882,9,6,2671.33,1140
IndiGo,CCU,BLR,1,0,6218,12,5,1874.71,325
IndiGo,BLR,DEL,1,0,13302,1,3,1743.04,285
SpiceJet,CCU,BLR,0,0,3873,24,6,1547.27,145
Jet Airways,BLR,DEL,1,1,11087,12,3,1971.87,930
Jet Airways,BLR,DEL,1,0,22270,1,3,1971.87,1265
Jet Airways,BLR,DEL,1,1,11087,12,3,1971.87,1530
Multiple carriers,DEL,COK,1,0,8625,27,5,2201.6,470
Air India,DEL,COK,1,0,8907,1,6,2077.09,795
IndiGo,CCU,BLR,0,0,4174,18,4,1547.27,155
Air India,MAA,CCU,0,0,4667,24,6,1387.26,135
Jet Airways,CCU,BLR,1,1,9663,9,5,2500.36,730
IndiGo,CCU,BLR,0,0,4804,24,4,1547.27,155
Air India,DEL,COK,2,0,14011,3,3,2263.95,1595
SpiceJet,DEL,COK,1,0,5830,15,4,2130.78,270
Jet Airways,DEL,COK,1,1,10262,12,6,2201.6,1355
Air India,DEL,COK,2,0,13381,12,6,4043.05,1380
Jet Airways,DEL,COK,1,1,12898,27,5,2201.6,1235
GoAir,DEL,COK,1,0,19495,6,3,2201.6,310
Air India,BLR,DEL,1,0,6955,21,3,2415.98,920
IndiGo,BLR,DEL,0,0,3943,3,4,1709.71,170
IndiGo,BLR,DEL,0,0,4823,1,5,1709.71,175
Jet Airways,CCU,BLR,1,1,7757,6,5,2500.36,800
Jet Airways,DEL,COK,2,0,13292,9,6,2232.34,910
IndiGo,DEL,COK,1,0,8238,1,6,2329.93,345
GoAir,DEL,COK,1,0,7682,15,5,2201.6,355
Vistara,BLR,DEL,0,0,4668,18,6,1709.71,170
Vistara,MAA,CCU,0,0,3687,15,6,1387.26,135
Vistara,MAA,CCU,0,0,3687,18,6,1387.26,135
Air India,CCU,BLR,2,0,13227,1,5,3664.88,805
IndiGo,BLR,DEL,0,0,4423,6,4,1709.71,170
Jet Airways,DEL,COK,2,1,10919,15,6,2600.67,1320
Jet Airways,DEL,COK,1,1,12373,18,5,2201.6,330
IndiGo,DEL,COK,1,0,5894,27,6,2201.6,625
SpiceJet,CCU,BLR,1,0,4649,21,5,1654.62,315
Air India,CCU,BLR,0,0,6245,18,5,1547.27,150
Jet Airways,BLR,DEL,1,0,19225,6,3,1971.87,375
Jet Airways,DEL,COK,1,0,14924,3,6,2201.6,715
Multiple carriers,DEL,COK,1,0,9646,21,5,2084.71,665
Air India,BLR,DEL,1,0,8714,15,3,1971.87,510
Jet Airways,DEL,COK,1,1,12373,18,5,2201.6,1325
Air Asia,BLR,DEL,0,0,3383,6,5,1709.71,165
Multiple carriers,DEL,COK,1,0,13062,21,3,2201.6,720
SpiceJet,BLR,DEL,0,2,3527,24,3,1709.71,170
IndiGo,BLR,DEL,0,0,3943,27,5,1709.71,170
Air India,MAA,CCU,0,0,4667,3,5,1387.26,135
Air India,CCU,BLR,1,0,6117,15,5,1662.88,965
Jet Airways,DEL,COK,2,1,11150,27,6,2263.95,1195
